day,hour,latitude,longitude,month,temperature_2m,time,year
06,00:00,13.0,77.600006,05,21.0,2023-05-06T00:00,2023
06,01:00,13.0,77.600006,05,21.1,2023-05-06T01:00,2023
06,02:00,13.0,77.600006,05,21.8,2023-05-06T02:00,2023
06,03:00,13.0,77.600006,05,23.0,2023-05-06T03:00,2023
06,04:00,13.0,77.600006,05,24.7,2023-05-06T04:00,2023
06,05:00,13.0,77.600006,05,26.3,2023-05-06T05:00,2023
06,06:00,13.0,77.600006,05,27.3,2023-05-06T06:00,2023
06,07:00,13.0,77.600006,05,28.4,2023-05-06T07:00,2023
06,08:00,13.0,77.600006,05,29.2,2023-05-06T08:00,2023
06,09:00,13.0,77.600006,05,29.4,2023-05-06T09:00,2023
06,10:00,13.0,77.600006,05,29.3,2023-05-06T10:00,2023
06,11:00,13.0,77.600006,05,26.9,2023-05-06T11:00,2023
06,12:00,13.0,77.600006,05,25.3,2023-05-06T12:00,2023
06,13:00,13.0,77.600006,05,23.9,2023-05-06T13:00,2023
06,14:00,13.0,77.600006,05,23.1,2023-05-06T14:00,2023
06,15:00,13.0,77.600006,05,22.5,2023-05-06T15:00,2023
06,16:00,13.0,77.600006,05,22.1,2023-05-06T16:00,2023
06,17:00,13.0,77.600006,05,21.7,2023-05-06T17:00,2023
06,18:00,13.0,77.600006,05,21.6,2023-05-06T18:00,2023
06,19:00,13.0,77.600006,05,21.1,2023-05-06T19:00,2023
06,20:00,13.0,77.600006,05,20.7,2023-05-06T20:00,2023
06,21:00,13.0,77.600006,05,20.5,2023-05-06T21:00,2023
06,22:00,13.0,77.600006,05,20.5,2023-05-06T22:00,2023
06,23:00,13.0,77.600006,05,20.6,2023-05-06T23:00,2023
07,00:00,13.0,77.600006,05,20.7,2023-05-07T00:00,2023
07,01:00,13.0,77.600006,05,20.7,2023-05-07T01:00,2023
07,02:00,13.0,77.600006,05,21.2,2023-05-07T02:00,2023
07,03:00,13.0,77.600006,05,22.5,2023-05-07T03:00,2023
07,04:00,13.0,77.600006,05,23.2,2023-05-07T04:00,2023
07,05:00,13.0,77.600006,05,23.6,2023-05-07T05:00,2023
07,06:00,13.0,77.600006,05,24.1,2023-05-07T06:00,2023
07,07:00,13.0,77.600006,05,24.8,2023-05-07T07:00,2023
07,08:00,13.0,77.600006,05,25.1,2023-05-07T08:00,2023
07,09:00,13.0,77.600006,05,25.1,2023-05-07T09:00,2023
07,10:00,13.0,77.600006,05,25.1,2023-05-07T10:00,2023
07,11:00,13.0,77.600006,05,24.7,2023-05-07T11:00,2023
07,12:00,13.0,77.600006,05,24.2,2023-05-07T12:00,2023
07,13:00,13.0,77.600006,05,23.6,2023-05-07T13:00,2023
07,14:00,13.0,77.600006,05,23.0,2023-05-07T14:00,2023
07,15:00,13.0,77.600006,05,22.7,2023-05-07T15:00,2023
07,16:00,13.0,77.600006,05,22.5,2023-05-07T16:00,2023
07,17:00,13.0,77.600006,05,22.3,2023-05-07T17:00,2023
07,18:00,13.0,77.600006,05,22.2,2023-05-07T18:00,2023
07,19:00,13.0,77.600006,05,21.5,2023-05-07T19:00,2023
07,20:00,13.0,77.600006,05,21.0,2023-05-07T20:00,2023
07,21:00,13.0,77.600006,05,20.9,2023-05-07T21:00,2023
07,22:00,13.0,77.600006,05,20.9,2023-05-07T22:00,2023
07,23:00,13.0,77.600006,05,20.7,2023-05-07T23:00,2023
08,00:00,13.0,77.600006,05,20.6,2023-05-08T00:00,2023
08,01:00,13.0,77.600006,05,20.7,2023-05-08T01:00,2023
08,02:00,13.0,77.600006,05,21.6,2023-05-08T02:00,2023
08,03:00,13.0,77.600006,05,23.3,2023-05-08T03:00,2023
08,04:00,13.0,77.600006,05,25.1,2023-05-08T04:00,2023
08,05:00,13.0,77.600006,05,27.0,2023-05-08T05:00,2023
08,06:00,13.0,77.600006,05,28.2,2023-05-08T06:00,2023
08,07:00,13.0,77.600006,05,29.0,2023-05-08T07:00,2023
08,08:00,13.0,77.600006,05,29.5,2023-05-08T08:00,2023
08,09:00,13.0,77.600006,05,29.0,2023-05-08T09:00,2023
08,10:00,13.0,77.600006,05,26.9,2023-05-08T10:00,2023
08,11:00,13.0,77.600006,05,25.9,2023-05-08T11:00,2023
08,12:00,13.0,77.600006,05,24.2,2023-05-08T12:00,2023
08,13:00,13.0,77.600006,05,23.0,2023-05-08T13:00,2023
08,14:00,13.0,77.600006,05,22.3,2023-05-08T14:00,2023
08,15:00,13.0,77.600006,05,21.9,2023-05-08T15:00,2023
08,16:00,13.0,77.600006,05,21.6,2023-05-08T16:00,2023
08,17:00,13.0,77.600006,05,21.6,2023-05-08T17:00,2023
08,18:00,13.0,77.600006,05,21.2,2023-05-08T18:00,2023
08,19:00,13.0,77.600006,05,21.0,2023-05-08T19:00,2023
08,20:00,13.0,77.600006,05,21.0,2023-05-08T20:00,2023
08,21:00,13.0,77.600006,05,20.6,2023-05-08T21:00,2023
08,22:00,13.0,77.600006,05,20.4,2023-05-08T22:00,2023
08,23:00,13.0,77.600006,05,20.3,2023-05-08T23:00,2023
09,00:00,13.0,77.600006,05,20.2,2023-05-09T00:00,2023
09,01:00,13.0,77.600006,05,20.3,2023-05-09T01:00,2023
09,02:00,13.0,77.600006,05,21.3,2023-05-09T02:00,2023
09,03:00,13.0,77.600006,05,23.3,2023-05-09T03:00,2023
09,04:00,13.0,77.600006,05,25.4,2023-05-09T04:00,2023
09,05:00,13.0,77.600006,05,27.0,2023-05-09T05:00,2023
09,06:00,13.0,77.600006,05,28.4,2023-05-09T06:00,2023
09,07:00,13.0,77.600006,05,29.5,2023-05-09T07:00,2023
09,08:00,13.0,77.600006,05,30.3,2023-05-09T08:00,2023
09,09:00,13.0,77.600006,05,30.3,2023-05-09T09:00,2023
09,10:00,13.0,77.600006,05,29.9,2023-05-09T10:00,2023
09,11:00,13.0,77.600006,05,29.0,2023-05-09T11:00,2023
09,12:00,13.0,77.600006,05,27.7,2023-05-09T12:00,2023
09,13:00,13.0,77.600006,05,25.9,2023-05-09T13:00,2023
09,14:00,13.0,77.600006,05,24.7,2023-05-09T14:00,2023
09,15:00,13.0,77.600006,05,23.6,2023-05-09T15:00,2023
09,16:00,13.0,77.600006,05,22.9,2023-05-09T16:00,2023
09,17:00,13.0,77.600006,05,22.0,2023-05-09T17:00,2023
09,18:00,13.0,77.600006,05,21.4,2023-05-09T18:00,2023
09,19:00,13.0,77.600006,05,21.7,2023-05-09T19:00,2023
09,20:00,13.0,77.600006,05,21.5,2023-05-09T20:00,2023
09,21:00,13.0,77.600006,05,21.3,2023-05-09T21:00,2023
09,22:00,13.0,77.600006,05,21.0,2023-05-09T22:00,2023
09,23:00,13.0,77.600006,05,20.9,2023-05-09T23:00,2023
10,00:00,13.0,77.600006,05,20.8,2023-05-10T00:00,2023
10,01:00,13.0,77.600006,05,20.8,2023-05-10T01:00,2023
10,02:00,13.0,77.600006,05,21.6,2023-05-10T02:00,2023
10,03:00,13.0,77.600006,05,23.6,2023-05-10T03:00,2023
10,04:00,13.0,77.600006,05,25.9,2023-05-10T04:00,2023
10,05:00,13.0,77.600006,05,27.9,2023-05-10T05:00,2023
10,06:00,13.0,77.600006,05,29.4,2023-05-10T06:00,2023
10,07:00,13.0,77.600006,05,30.7,2023-05-10T07:00,2023
10,08:00,13.0,77.600006,05,31.4,2023-05-10T08:00,2023
10,09:00,13.0,77.600006,05,31.6,2023-05-10T09:00,2023
10,10:00,13.0,77.600006,05,31.8,2023-05-10T10:00,2023
10,11:00,13.0,77.600006,05,31.5,2023-05-10T11:00,2023
10,12:00,13.0,77.600006,05,30.5,2023-05-10T12:00,2023
10,13:00,13.0,77.600006,05,28.8,2023-05-10T13:00,2023
10,14:00,13.0,77.600006,05,26.5,2023-05-10T14:00,2023
10,15:00,13.0,77.600006,05,25.8,2023-05-10T15:00,2023
10,16:00,13.0,77.600006,05,25.0,2023-05-10T16:00,2023
10,17:00,13.0,77.600006,05,24.0,2023-05-10T17:00,2023
10,18:00,13.0,77.600006,05,23.2,2023-05-10T18:00,2023
10,19:00,13.0,77.600006,05,23.1,2023-05-10T19:00,2023
10,20:00,13.0,77.600006,05,22.6,2023-05-10T20:00,2023
10,21:00,13.0,77.600006,05,22.2,2023-05-10T21:00,2023
10,22:00,13.0,77.600006,05,21.8,2023-05-10T22:00,2023
10,23:00,13.0,77.600006,05,21.5,2023-05-10T23:00,2023
11,00:00,13.0,77.600006,05,21.3,2023-05-11T00:00,2023
11,01:00,13.0,77.600006,05,21.4,2023-05-11T01:00,2023
11,02:00,13.0,77.600006,05,22.9,2023-05-11T02:00,2023
11,03:00,13.0,77.600006,05,24.9,2023-05-11T03:00,2023
11,04:00,13.0,77.600006,05,27.0,2023-05-11T04:00,2023
11,05:00,13.0,77.600006,05,28.8,2023-05-11T05:00,2023
11,06:00,13.0,77.600006,05,30.1,2023-05-11T06:00,2023
11,07:00,13.0,77.600006,05,31.1,2023-05-11T07:00,2023
11,08:00,13.0,77.600006,05,31.7,2023-05-11T08:00,2023
11,09:00,13.0,77.600006,05,31.7,2023-05-11T09:00,2023
11,10:00,13.0,77.600006,05,31.2,2023-05-11T10:00,2023
11,11:00,13.0,77.600006,05,30.7,2023-05-11T11:00,2023
11,12:00,13.0,77.600006,05,29.0,2023-05-11T12:00,2023
11,13:00,13.0,77.600006,05,26.8,2023-05-11T13:00,2023
11,14:00,13.0,77.600006,05,25.6,2023-05-11T14:00,2023
11,15:00,13.0,77.600006,05,24.7,2023-05-11T15:00,2023
11,16:00,13.0,77.600006,05,23.7,2023-05-11T16:00,2023
11,17:00,13.0,77.600006,05,22.9,2023-05-11T17:00,2023
11,18:00,13.0,77.600006,05,22.4,2023-05-11T18:00,2023
11,19:00,13.0,77.600006,05,22.6,2023-05-11T19:00,2023
11,20:00,13.0,77.600006,05,22.3,2023-05-11T20:00,2023
11,21:00,13.0,77.600006,05,21.9,2023-05-11T21:00,2023
11,22:00,13.0,77.600006,05,21.7,2023-05-11T22:00,2023
11,23:00,13.0,77.600006,05,21.6,2023-05-11T23:00,2023
12,00:00,13.0,77.600006,05,21.2,2023-05-12T00:00,2023
12,01:00,13.0,77.600006,05,21.2,2023-05-12T01:00,2023
12,02:00,13.0,77.600006,05,22.9,2023-05-12T02:00,2023
12,03:00,13.0,77.600006,05,24.8,2023-05-12T03:00,2023
12,04:00,13.0,77.600006,05,26.8,2023-05-12T04:00,2023
12,05:00,13.0,77.600006,05,28.5,2023-05-12T05:00,2023
12,06:00,13.0,77.600006,05,29.4,2023-05-12T06:00,2023
12,07:00,13.0,77.600006,05,29.8,2023-05-12T07:00,2023
12,08:00,13.0,77.600006,05,30.1,2023-05-12T08:00,2023
12,09:00,13.0,77.600006,05,30.4,2023-05-12T09:00,2023
12,10:00,13.0,77.600006,05,30.5,2023-05-12T10:00,2023
12,11:00,13.0,77.600006,05,30.2,2023-05-12T11:00,2023
12,12:00,13.0,77.600006,05,29.6,2023-05-12T12:00,2023
12,13:00,13.0,77.600006,05,27.8,2023-05-12T13:00,2023
12,14:00,13.0,77.600006,05,26.6,2023-05-12T14:00,2023
12,15:00,13.0,77.600006,05,26.0,2023-05-12T15:00,2023
12,16:00,13.0,77.600006,05,25.2,2023-05-12T16:00,2023
12,17:00,13.0,77.600006,05,24.5,2023-05-12T17:00,2023
12,18:00,13.0,77.600006,05,23.9,2023-05-12T18:00,2023
12,19:00,13.0,77.600006,05,23.2,2023-05-12T19:00,2023
12,20:00,13.0,77.600006,05,22.6,2023-05-12T20:00,2023
12,21:00,13.0,77.600006,05,22.2,2023-05-12T21:00,2023
12,22:00,13.0,77.600006,05,21.7,2023-05-12T22:00,2023
12,23:00,13.0,77.600006,05,21.6,2023-05-12T23:00,2023
13,00:00,13.0,77.600006,05,21.2,2023-05-13T00:00,2023
13,01:00,13.0,77.600006,05,21.3,2023-05-13T01:00,2023
13,02:00,13.0,77.600006,05,22.4,2023-05-13T02:00,2023
13,03:00,13.0,77.600006,05,24.1,2023-05-13T03:00,2023
13,04:00,13.0,77.600006,05,25.9,2023-05-13T04:00,2023
13,05:00,13.0,77.600006,05,27.6,2023-05-13T05:00,2023
13,06:00,13.0,77.600006,05,28.9,2023-05-13T06:00,2023
13,07:00,13.0,77.600006,05,29.6,2023-05-13T07:00,2023
13,08:00,13.0,77.600006,05,30.2,2023-05-13T08:00,2023
13,09:00,13.0,77.600006,05,30.2,2023-05-13T09:00,2023
13,10:00,13.0,77.600006,05,28.8,2023-05-13T10:00,2023
13,11:00,13.0,77.600006,05,27.5,2023-05-13T11:00,2023
13,12:00,13.0,77.600006,05,26.7,2023-05-13T12:00,2023
13,13:00,13.0,77.600006,05,25.7,2023-05-13T13:00,2023
13,14:00,13.0,77.600006,05,25.1,2023-05-13T14:00,2023
13,15:00,13.0,77.600006,05,24.6,2023-05-13T15:00,2023
13,16:00,13.0,77.600006,05,24.1,2023-05-13T16:00,2023
13,17:00,13.0,77.600006,05,23.7,2023-05-13T17:00,2023
13,18:00,13.0,77.600006,05,23.2,2023-05-13T18:00,2023
13,19:00,13.0,77.600006,05,22.5,2023-05-13T19:00,2023
13,20:00,13.0,77.600006,05,22.0,2023-05-13T20:00,2023
13,21:00,13.0,77.600006,05,21.4,2023-05-13T21:00,2023
13,22:00,13.0,77.600006,05,21.0,2023-05-13T22:00,2023
13,23:00,13.0,77.600006,05,21.0,2023-05-13T23:00,2023
14,00:00,13.0,77.600006,05,21.1,2023-05-14T00:00,2023
14,01:00,13.0,77.600006,05,21.3,2023-05-14T01:00,2023
14,02:00,13.0,77.600006,05,22.1,2023-05-14T02:00,2023
14,03:00,13.0,77.600006,05,23.7,2023-05-14T03:00,2023
14,04:00,13.0,77.600006,05,25.8,2023-05-14T04:00,2023
14,05:00,13.0,77.600006,05,27.7,2023-05-14T05:00,2023
14,06:00,13.0,77.600006,05,29.2,2023-05-14T06:00,2023
14,07:00,13.0,77.600006,05,30.5,2023-05-14T07:00,2023
14,08:00,13.0,77.600006,05,31.5,2023-05-14T08:00,2023
14,09:00,13.0,77.600006,05,31.9,2023-05-14T09:00,2023
14,10:00,13.0,77.600006,05,31.7,2023-05-14T10:00,2023
14,11:00,13.0,77.600006,05,31.2,2023-05-14T11:00,2023
14,12:00,13.0,77.600006,05,30.2,2023-05-14T12:00,2023
14,13:00,13.0,77.600006,05,28.7,2023-05-14T13:00,2023
14,14:00,13.0,77.600006,05,27.2,2023-05-14T14:00,2023
14,15:00,13.0,77.600006,05,25.9,2023-05-14T15:00,2023
14,16:00,13.0,77.600006,05,25.2,2023-05-14T16:00,2023
14,17:00,13.0,77.600006,05,24.5,2023-05-14T17:00,2023
14,18:00,13.0,77.600006,05,24.1,2023-05-14T18:00,2023
14,19:00,13.0,77.600006,05,23.7,2023-05-14T19:00,2023
14,20:00,13.0,77.600006,05,23.0,2023-05-14T20:00,2023
14,21:00,13.0,77.600006,05,22.3,2023-05-14T21:00,2023
14,22:00,13.0,77.600006,05,21.7,2023-05-14T22:00,2023
14,23:00,13.0,77.600006,05,21.3,2023-05-14T23:00,2023
15,00:00,13.0,77.600006,05,20.9,2023-05-15T00:00,2023
15,01:00,13.0,77.600006,05,20.9,2023-05-15T01:00,2023
15,02:00,13.0,77.600006,05,22.4,2023-05-15T02:00,2023
15,03:00,13.0,77.600006,05,24.4,2023-05-15T03:00,2023
15,04:00,13.0,77.600006,05,26.5,2023-05-15T04:00,2023
15,05:00,13.0,77.600006,05,28.4,2023-05-15T05:00,2023
15,06:00,13.0,77.600006,05,29.8,2023-05-15T06:00,2023
15,07:00,13.0,77.600006,05,30.9,2023-05-15T07:00,2023
15,08:00,13.0,77.600006,05,31.6,2023-05-15T08:00,2023
15,09:00,13.0,77.600006,05,31.9,2023-05-15T09:00,2023
15,10:00,13.0,77.600006,05,31.8,2023-05-15T10:00,2023
15,11:00,13.0,77.600006,05,31.4,2023-05-15T11:00,2023
15,12:00,13.0,77.600006,05,30.4,2023-05-15T12:00,2023
15,13:00,13.0,77.600006,05,28.9,2023-05-15T13:00,2023
15,14:00,13.0,77.600006,05,27.2,2023-05-15T14:00,2023
15,15:00,13.0,77.600006,05,25.8,2023-05-15T15:00,2023
15,16:00,13.0,77.600006,05,25.2,2023-05-15T16:00,2023
15,17:00,13.0,77.600006,05,24.4,2023-05-15T17:00,2023
15,18:00,13.0,77.600006,05,23.8,2023-05-15T18:00,2023
15,19:00,13.0,77.600006,05,23.3,2023-05-15T19:00,2023
15,20:00,13.0,77.600006,05,22.6,2023-05-15T20:00,2023
15,21:00,13.0,77.600006,05,22.0,2023-05-15T21:00,2023
15,22:00,13.0,77.600006,05,21.4,2023-05-15T22:00,2023
15,23:00,13.0,77.600006,05,20.9,2023-05-15T23:00,2023
16,00:00,13.0,77.600006,05,20.5,2023-05-16T00:00,2023
16,01:00,13.0,77.600006,05,20.6,2023-05-16T01:00,2023
16,02:00,13.0,77.600006,05,22.8,2023-05-16T02:00,2023
16,03:00,13.0,77.600006,05,25.0,2023-05-16T03:00,2023
16,04:00,13.0,77.600006,05,27.1,2023-05-16T04:00,2023
16,05:00,13.0,77.600006,05,28.9,2023-05-16T05:00,2023
16,06:00,13.0,77.600006,05,30.4,2023-05-16T06:00,2023
16,07:00,13.0,77.600006,05,31.5,2023-05-16T07:00,2023
16,08:00,13.0,77.600006,05,32.0,2023-05-16T08:00,2023
16,09:00,13.0,77.600006,05,32.3,2023-05-16T09:00,2023
16,10:00,13.0,77.600006,05,32.2,2023-05-16T10:00,2023
16,11:00,13.0,77.600006,05,31.9,2023-05-16T11:00,2023
16,12:00,13.0,77.600006,05,30.9,2023-05-16T12:00,2023
16,13:00,13.0,77.600006,05,29.4,2023-05-16T13:00,2023
16,14:00,13.0,77.600006,05,27.8,2023-05-16T14:00,2023
16,15:00,13.0,77.600006,05,26.4,2023-05-16T15:00,2023
16,16:00,13.0,77.600006,05,25.5,2023-05-16T16:00,2023
16,17:00,13.0,77.600006,05,24.7,2023-05-16T17:00,2023
16,18:00,13.0,77.600006,05,24.2,2023-05-16T18:00,2023
16,19:00,13.0,77.600006,05,23.9,2023-05-16T19:00,2023
16,20:00,13.0,77.600006,05,23.5,2023-05-16T20:00,2023
16,21:00,13.0,77.600006,05,23.6,2023-05-16T21:00,2023
16,22:00,13.0,77.600006,05,23.1,2023-05-16T22:00,2023
16,23:00,13.0,77.600006,05,22.6,2023-05-16T23:00,2023
17,00:00,13.0,77.600006,05,22.0,2023-05-17T00:00,2023
17,01:00,13.0,77.600006,05,21.5,2023-05-17T01:00,2023
17,02:00,13.0,77.600006,05,24.1,2023-05-17T02:00,2023
17,03:00,13.0,77.600006,05,26.9,2023-05-17T03:00,2023
17,04:00,13.0,77.600006,05,29.3,2023-05-17T04:00,2023
17,05:00,13.0,77.600006,05,31.0,2023-05-17T05:00,2023
17,06:00,13.0,77.600006,05,32.1,2023-05-17T06:00,2023
17,07:00,13.0,77.600006,05,32.2,2023-05-17T07:00,2023
17,08:00,13.0,77.600006,05,32.9,2023-05-17T08:00,2023
17,09:00,13.0,77.600006,05,33.1,2023-05-17T09:00,2023
17,10:00,13.0,77.600006,05,32.9,2023-05-17T10:00,2023
17,11:00,13.0,77.600006,05,32.5,2023-05-17T11:00,2023
17,12:00,13.0,77.600006,05,31.8,2023-05-17T12:00,2023
17,13:00,13.0,77.600006,05,30.1,2023-05-17T13:00,2023
17,14:00,13.0,77.600006,05,27.9,2023-05-17T14:00,2023
17,15:00,13.0,77.600006,05,26.7,2023-05-17T15:00,2023
17,16:00,13.0,77.600006,05,25.7,2023-05-17T16:00,2023
17,17:00,13.0,77.600006,05,24.9,2023-05-17T17:00,2023
17,18:00,13.0,77.600006,05,24.3,2023-05-17T18:00,2023
17,19:00,13.0,77.600006,05,24.0,2023-05-17T19:00,2023
17,20:00,13.0,77.600006,05,23.4,2023-05-17T20:00,2023
17,21:00,13.0,77.600006,05,23.0,2023-05-17T21:00,2023
17,22:00,13.0,77.600006,05,22.6,2023-05-17T22:00,2023
17,23:00,13.0,77.600006,05,22.2,2023-05-17T23:00,2023
18,00:00,13.0,77.600006,05,21.7,2023-05-18T00:00,2023
18,01:00,13.0,77.600006,05,21.7,2023-05-18T01:00,2023
18,02:00,13.0,77.600006,05,24.3,2023-05-18T02:00,2023
18,03:00,13.0,77.600006,05,26.4,2023-05-18T03:00,2023
18,04:00,13.0,77.600006,05,28.5,2023-05-18T04:00,2023
18,05:00,13.0,77.600006,05,30.3,2023-05-18T05:00,2023
18,06:00,13.0,77.600006,05,31.2,2023-05-18T06:00,2023
18,07:00,13.0,77.600006,05,32.3,2023-05-18T07:00,2023
18,08:00,13.0,77.600006,05,32.7,2023-05-18T08:00,2023
18,09:00,13.0,77.600006,05,32.9,2023-05-18T09:00,2023
18,10:00,13.0,77.600006,05,32.8,2023-05-18T10:00,2023
18,11:00,13.0,77.600006,05,32.6,2023-05-18T11:00,2023
18,12:00,13.0,77.600006,05,31.7,2023-05-18T12:00,2023
18,13:00,13.0,77.600006,05,30.0,2023-05-18T13:00,2023
18,14:00,13.0,77.600006,05,28.1,2023-05-18T14:00,2023
18,15:00,13.0,77.600006,05,26.7,2023-05-18T15:00,2023
18,16:00,13.0,77.600006,05,25.6,2023-05-18T16:00,2023
18,17:00,13.0,77.600006,05,24.8,2023-05-18T17:00,2023
18,18:00,13.0,77.600006,05,23.8,2023-05-18T18:00,2023
18,19:00,13.0,77.600006,05,23.6,2023-05-18T19:00,2023
18,20:00,13.0,77.600006,05,23.2,2023-05-18T20:00,2023
18,21:00,13.0,77.600006,05,22.7,2023-05-18T21:00,2023
18,22:00,13.0,77.600006,05,22.4,2023-05-18T22:00,2023
18,23:00,13.0,77.600006,05,22.2,2023-05-18T23:00,2023
19,00:00,13.0,77.600006,05,21.8,2023-05-19T00:00,2023
19,01:00,13.0,77.600006,05,21.8,2023-05-19T01:00,2023
19,02:00,13.0,77.600006,05,24.2,2023-05-19T02:00,2023
19,03:00,13.0,77.600006,05,26.6,2023-05-19T03:00,2023
19,04:00,13.0,77.600006,05,28.8,2023-05-19T04:00,2023
19,05:00,13.0,77.600006,05,30.6,2023-05-19T05:00,2023
19,06:00,13.0,77.600006,05,31.8,2023-05-19T06:00,2023
19,07:00,13.0,77.600006,05,32.4,2023-05-19T07:00,2023
19,08:00,13.0,77.600006,05,32.4,2023-05-19T08:00,2023
19,09:00,13.0,77.600006,05,32.7,2023-05-19T09:00,2023
19,10:00,13.0,77.600006,05,32.7,2023-05-19T10:00,2023
19,11:00,13.0,77.600006,05,32.2,2023-05-19T11:00,2023
19,12:00,13.0,77.600006,05,31.4,2023-05-19T12:00,2023
19,13:00,13.0,77.600006,05,30.4,2023-05-19T13:00,2023
19,14:00,13.0,77.600006,05,28.7,2023-05-19T14:00,2023
19,15:00,13.0,77.600006,05,27.6,2023-05-19T15:00,2023
19,16:00,13.0,77.600006,05,26.7,2023-05-19T16:00,2023
19,17:00,13.0,77.600006,05,25.9,2023-05-19T17:00,2023
19,18:00,13.0,77.600006,05,24.4,2023-05-19T18:00,2023
19,19:00,13.0,77.600006,05,23.7,2023-05-19T19:00,2023
